accuracy,api,ci_high,ci_low,latency_ms,method,model,n,source,task,tokens
0.8,openai,,,678.3,diverse-RAG,gpt-4.1-nano,3,hand_tuned_baselines_openai_symptom_hard.json,symptom_hard,263.53
0.5417,openai,,,,DSPy_BootstrapFewShot,gpt-4.1-nano,1,dspy_baseline_openai_emotion.json,emotion,
0.8,openai,,,,DSPy_BootstrapFewShot,gpt-4.1-nano,1,dspy_baseline_openai_symptom_hard.json,symptom_hard,
0.3333,openai,,,,DSPy_BootstrapFewShot,gpt-4.1-nano,1,dspy_baseline_openai_lawbench_2_2.json,lawbench_2_2,
0.82,openai,,,,DSPy_BootstrapFewShot,gpt-4.1-nano,1,dspy_baseline_openai_news_hard_50.json,news_hard_50,
0.8125,openai,,,,DSPy_BootstrapFewShot,gpt-4.1-nano,1,dspy_baseline_openai_agnews.json,agnews,
0.8,openai,,,,OPRO,gpt-4.1-nano,1,opro_baseline_openai_news_hard_50.json,news_hard_50,
0.5833,openai,,,,OPRO,gpt-4.1-nano,1,opro_baseline_openai_emotion.json,emotion,
0.2917,openai,,,,OPRO,gpt-4.1-nano,1,opro_baseline_openai_lawbench_2_2.json,lawbench_2_2,
0.8958,openai,,,,OPRO,gpt-4.1-nano,1,opro_baseline_openai_agnews.json,agnews,
0.6667,openai,,,,OPRO,gpt-4.1-nano,1,opro_baseline_openai_symptom_hard.json,symptom_hard,
0.84,openai,,,1625.4,TextGrad,gpt-4.1-nano,1,textgrad_baseline_openai_news_hard_50.json,news_hard_50,463.48
0.8125,openai,,,559.2,TextGrad,gpt-4.1-nano,1,textgrad_baseline_openai_agnews.json,agnews,676.46
0.125,openai,,,686.4,TextGrad,gpt-4.1-nano,1,textgrad_baseline_openai_lawbench_2_2.json,lawbench_2_2,1317.17
0.4583,openai,,,1646.5,TextGrad,gpt-4.1-nano,1,textgrad_baseline_openai_emotion.json,emotion,395.06
0.9333,openai,,,1934.0,TextGrad,gpt-4.1-nano,1,textgrad_baseline_openai_symptom_hard.json,symptom_hard,658.87
0.5625,openai,,,,ProTeGi,gpt-4.1-nano,1,protegi_baseline_openai_emotion.json,emotion,
0.8,openai,,,,ProTeGi,gpt-4.1-nano,1,protegi_baseline_openai_news_hard_50.json,news_hard_50,
0.8,openai,,,,ProTeGi,gpt-4.1-nano,1,protegi_baseline_openai_symptom_hard.json,symptom_hard,
0.8333,openai,,,,ProTeGi,gpt-4.1-nano,1,protegi_baseline_openai_agnews.json,agnews,
0.1875,openai,,,,ProTeGi,gpt-4.1-nano,1,protegi_baseline_openai_lawbench_2_2.json,lawbench_2_2,
0.8,gemini,,,1480.9,MH++_alpha_shape,gpt-4.1-nano,5,alpha_shape_openai_news_hard_50.json,news_hard_50,422.3
0.96,gemini,,,1846.4,MH++_alpha_shape,gemini-2.5-flash-lite,5,alpha_shape_gemini_news_hard_50.json,news_hard_50,405.2
0.9212,gemini,0.9296,0.917,,MH++,,5,agnews_gemini_aggregate.json,agnews,533.6
0.852,openai,0.8646,0.8414,,MH++,,5,agnews_openai_aggregate.json,agnews,619.3
0.5602,gemini,0.583,0.527,,MH++,,5,emotion_gemini_aggregate.json,emotion,289.0
0.5916,openai,0.6064,0.579,,MH++,,5,emotion_openai_aggregate.json,emotion,830.2
0.92,gemini,0.94,0.904,,MH++_8x8_seeded,,5,gemini_news_hard_50_beatcot_aggregate.json,news_hard_50,271.8
0.908,gemini,0.916,0.9,,MH++_6x8,,5,gemini_news_hard_50_big_aggregate.json,news_hard_50,306.0
0.912,gemini,0.924,0.903,,MH++_10seed,,10,gemini_news_hard_50_big_aggregate_10seed.json,news_hard_50,278.0
1.0,gemini,1.0,1.0,,MH++_6x8,,5,gemini_symptom_hard_big_aggregate.json,symptom_hard,169.7
1.0,gemini,1.0,1.0,,MH++_10seed,,10,gemini_symptom_hard_big_aggregate_10seed.json,symptom_hard,148.6
0.4168,gemini,0.4584,0.396,,MH++,,5,lawbench_2_2_gemini_aggregate.json,lawbench_2_2,571.3
0.4832,gemini,0.4958,0.4706,,MH++_6x8,,5,lawbench_2_2_gemini_big_aggregate.json,lawbench_2_2,490.2
0.267,openai,0.292,0.217,,MH++,,5,lawbench_2_2_openai_aggregate.json,lawbench_2_2,655.1
0.2958,openai,0.308,0.2834,,MH++_6x8,,5,openai_lawbench_2_2_big_aggregate.json,lawbench_2_2,669.1
0.948,openai,0.956,0.94,,MH++_mini,,5,openai_mini_news_hard_50_aggregate.json,news_hard_50,169.3
0.98,openai,1.0,0.9532,,MH++_mini,,5,openai_mini_symptom_hard_aggregate.json,symptom_hard,286.4
0.924,openai,0.932,0.92,,MH++_6x8,,5,openai_news_hard_50_big_aggregate.json,news_hard_50,203.0
0.928,openai,0.934,0.922,,MH++_10seed,,10,openai_news_hard_50_big_aggregate_10seed.json,news_hard_50,212.7
0.9598,openai,0.9866,0.933,,MH++_6x8,,5,openai_symptom_hard_big_aggregate.json,symptom_hard,454.5
0.96,openai,0.9767,0.9465,,MH++_10seed,,10,openai_symptom_hard_big_aggregate_10seed.json,symptom_hard,499.3
